path,orig_w,orig_h,forced_resize,keep_ratio_resize,pad_w,pad_h
train/train_0001.jpg,720,960,384x384,288x384,96,0
train/train_0002.jpg,720,960,384x384,288x384,96,0
train/train_0003.jpg,720,1280,384x384,216x384,168,0
train/train_0004.jpg,960,720,384x384,384x288,0,96
train/train_0005.jpg,720,960,384x384,288x384,96,0
train/train_0006.jpg,720,960,384x384,288x384,96,0
train/train_0007.jpg,720,960,384x384,288x384,96,0
train/train_0008.jpg,720,960,384x384,288x384,96,0
train/train_0009.jpg,720,960,384x384,288x384,96,0
train/train_0010.jpg,720,960,384x384,288x384,96,0
train/train_0011.jpg,720,960,384x384,288x384,96,0
train/train_0012.jpg,720,960,384x384,288x384,96,0
train/train_0013.jpg,720,960,384x384,288x384,96,0
train/train_0014.jpg,720,960,384x384,288x384,96,0
train/train_0015.jpg,720,720,384x384,384x384,0,0
train/train_0016.jpg,720,960,384x384,288x384,96,0
train/train_0017.jpg,720,960,384x384,288x384,96,0
train/train_0018.jpg,720,960,384x384,288x384,96,0
train/train_0019.jpg,720,960,384x384,288x384,96,0
train/train_0020.jpg,720,960,384x384,288x384,96,0
train/train_0021.jpg,720,1278,384x384,216x384,168,0
train/train_0022.jpg,720,960,384x384,288x384,96,0
train/train_0023.jpg,720,960,384x384,288x384,96,0
train/train_0024.jpg,720,960,384x384,288x384,96,0
train/train_0025.jpg,720,720,384x384,384x384,0,0
train/train_0026.jpg,1081,720,384x384,384x256,0,128
train/train_0027.jpg,960,720,384x384,384x288,0,96
train/train_0028.jpg,720,960,384x384,288x384,96,0
train/train_0029.jpg,720,960,384x384,288x384,96,0
train/train_0030.jpg,720,960,384x384,288x384,96,0
