id,split,path,resolved_path,exists,width,height,aspect_ratio,mode,question_type
train_0001.jpg,train,train/train_0001.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0001.jpg,True,720,960,0.75,RGB,material
train_0002.jpg,train,train/train_0002.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0002.jpg,True,720,960,0.75,RGB,classification
train_0003.jpg,train,train/train_0003.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0003.jpg,True,720,1280,0.5625,RGB,material
train_0004.jpg,train,train/train_0004.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0004.jpg,True,960,720,1.3333,RGB,classification
train_0005.jpg,train,train/train_0005.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0005.jpg,True,720,960,0.75,RGB,classification
train_0006.jpg,train,train/train_0006.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0006.jpg,True,720,960,0.75,RGB,material
train_0007.jpg,train,train/train_0007.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0007.jpg,True,720,960,0.75,RGB,classification
train_0008.jpg,train,train/train_0008.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0008.jpg,True,720,960,0.75,RGB,count
train_0009.jpg,train,train/train_0009.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0009.jpg,True,720,960,0.75,RGB,material
train_0010.jpg,train,train/train_0010.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0010.jpg,True,720,960,0.75,RGB,color
train_0011.jpg,train,train/train_0011.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0011.jpg,True,720,960,0.75,RGB,count
train_0012.jpg,train,train/train_0012.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0012.jpg,True,720,960,0.75,RGB,material
train_0013.jpg,train,train/train_0013.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0013.jpg,True,720,960,0.75,RGB,count
train_0014.jpg,train,train/train_0014.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0014.jpg,True,720,960,0.75,RGB,classification
train_0015.jpg,train,train/train_0015.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0015.jpg,True,720,720,1.0,RGB,count
train_0016.jpg,train,train/train_0016.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0016.jpg,True,720,960,0.75,RGB,color
train_0017.jpg,train,train/train_0017.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0017.jpg,True,720,960,0.75,RGB,classification
train_0018.jpg,train,train/train_0018.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0018.jpg,True,720,960,0.75,RGB,count
train_0019.jpg,train,train/train_0019.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0019.jpg,True,720,960,0.75,RGB,classification
train_0020.jpg,train,train/train_0020.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0020.jpg,True,720,960,0.75,RGB,other
train_0021.jpg,train,train/train_0021.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0021.jpg,True,720,1278,0.5634,RGB,count
train_0022.jpg,train,train/train_0022.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0022.jpg,True,720,960,0.75,RGB,color
train_0023.jpg,train,train/train_0023.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0023.jpg,True,720,960,0.75,RGB,material
train_0024.jpg,train,train/train_0024.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0024.jpg,True,720,960,0.75,RGB,classification
train_0025.jpg,train,train/train_0025.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0025.jpg,True,720,720,1.0,RGB,material
train_0026.jpg,train,train/train_0026.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0026.jpg,True,1081,720,1.5014,RGB,count
train_0027.jpg,train,train/train_0027.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0027.jpg,True,960,720,1.3333,RGB,classification
train_0028.jpg,train,train/train_0028.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0028.jpg,True,720,960,0.75,RGB,count
train_0029.jpg,train,train/train_0029.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0029.jpg,True,720,960,0.75,RGB,count
train_0030.jpg,train,train/train_0030.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0030.jpg,True,720,960,0.75,RGB,classification
train_0031.jpg,train,train/train_0031.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0031.jpg,True,720,960,0.75,RGB,count
train_0032.jpg,train,train/train_0032.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0032.jpg,True,928,720,1.2889,RGB,count
train_0033.jpg,train,train/train_0033.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0033.jpg,True,720,960,0.75,RGB,material
train_0034.jpg,train,train/train_0034.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0034.jpg,True,960,720,1.3333,RGB,count
train_0035.jpg,train,train/train_0035.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0035.jpg,True,960,720,1.3333,RGB,count
train_0036.jpg,train,train/train_0036.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0036.jpg,True,720,960,0.75,RGB,color
train_0037.jpg,train,train/train_0037.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0037.jpg,True,720,960,0.75,RGB,material
train_0038.jpg,train,train/train_0038.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0038.jpg,True,720,960,0.75,RGB,material
train_0039.jpg,train,train/train_0039.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0039.jpg,True,720,960,0.75,RGB,classification
train_0040.jpg,train,train/train_0040.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0040.jpg,True,720,960,0.75,RGB,material
train_0041.jpg,train,train/train_0041.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0041.jpg,True,720,960,0.75,RGB,count
train_0042.jpg,train,train/train_0042.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0042.jpg,True,720,960,0.75,RGB,count
train_0043.jpg,train,train/train_0043.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0043.jpg,True,720,960,0.75,RGB,material
train_0044.jpg,train,train/train_0044.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0044.jpg,True,720,960,0.75,RGB,material
train_0045.jpg,train,train/train_0045.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0045.jpg,True,720,960,0.75,RGB,classification
train_0046.jpg,train,train/train_0046.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0046.jpg,True,720,960,0.75,RGB,count
train_0047.jpg,train,train/train_0047.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0047.jpg,True,720,960,0.75,RGB,count
train_0048.jpg,train,train/train_0048.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0048.jpg,True,720,960,0.75,RGB,other
train_0049.jpg,train,train/train_0049.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0049.jpg,True,720,960,0.75,RGB,classification
train_0050.jpg,train,train/train_0050.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0050.jpg,True,960,720,1.3333,RGB,other
train_0051.jpg,train,train/train_0051.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0051.jpg,True,720,960,0.75,RGB,material
train_0052.jpg,train,train/train_0052.jpg,c:\Users\jinseok\develop\ssafy-ai\train\train_0052.jpg,True,720,960,0.75,RGB,classification
